,var_name,Contrast,A,B,Paired,Parametric,T,dof,Tail,p-unc,p-corr,p-adjust,BF10,cohen
1,F1amplitudeLogRelF0_sma3nz_stddevNorm,task,book,vac,True,True,-19.46128953235991,230.0,two-sided,1.6270922437010725e-50,4.881276731103218e-50,fdr_bh,1.16e+47,-1.1888106032064576
2,F1amplitudeLogRelF0_sma3nz_stddevNorm,task,pic,vac,True,True,-11.024294844369942,230.0,two-sided,5.755305100182696e-23,5.755305100182696e-23,fdr_bh,6.921e+19,-0.6141600003114003
0,F2frequency_sma3nz_amean,task,book,pic,True,True,-4.992424005046462,230.0,two-sided,1.1778068090437493e-06,3.5334204271312478e-06,fdr_bh,8822.885,-0.34186827961714744
1,F2frequency_sma3nz_amean,task,book,vac,True,True,-2.673382815355355,230.0,two-sided,0.008047212435600762,0.008047212435600762,fdr_bh,2.381,-0.19056951278123527
2,F2frequency_sma3nz_amean,task,pic,vac,True,True,4.103868095226832,230.0,two-sided,5.643822441104488e-05,8.465733661656733e-05,fdr_bh,226.233,0.19969353536896922
0,F2frequency_sma3nz_stddevNorm,task,book,pic,True,True,-7.331755154767597,230.0,two-sided,3.841094904115262e-12,5.761642356172893e-12,fdr_bh,1.74e+09,-0.3643614635888626
1,F2frequency_sma3nz_stddevNorm,task,book,vac,True,True,-9.682691199884905,230.0,two-sided,8.111837268992004e-19,2.4335511806976013e-18,fdr_bh,5.813e+15,-0.505006749637622
2,F2frequency_sma3nz_stddevNorm,task,pic,vac,True,True,-3.2535754258011504,230.0,two-sided,0.0013109923607916559,0.0013109923607916559,fdr_bh,12.227,-0.1585847685152922
1,F2bandwidth_sma3nz_amean,task,book,vac,True,True,13.413051054977412,230.0,two-sided,1.0878999817240715e-30,1.6318499725861073e-30,fdr_bh,2.825e+27,0.8048956168063484
2,F2bandwidth_sma3nz_amean,task,pic,vac,True,True,19.399206949561002,230.0,two-sided,2.5719389822862614e-50,7.715816946858784e-50,fdr_bh,7.366e+46,0.9689012868458055
